Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Baletni plesalec;baletni plesalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Bančni in finančni management;magister poslovnih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0412";Finančništvo, bančništvo in zavarovalništvo;Finance, banking and insurance;
Barvar (tekstilij);barvar (tekstilij);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Betoner;betoner;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Betoner (USO II);betoner;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Bibliotekarstvo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo;magister bibliotekarstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo;univerzitetni diplomirani bibliotekar;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo - dvopredmetni;univerzitetni diplomirani bibliotekar in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo in informatika;diplomirani bibliotekar in informatik (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo in informatika;diplomirani bibliotekar in informatik (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Bibliotekarstvo, informacijski in založniški študiji;magister bibliotekarstva, informacijskih in založniških študijev;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0322";Bibliotekarstvo in informacijska znanost;Library, information and archival studies;
Biodiverziteta;diplomirani varstveni biolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0511";Biologija;Biology;
Bioinformatika;diplomirani bioinformatik (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0588";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno naravoslovje, matematika in statistika;Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics;
Bioinformatika;magister bioinformatike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Biokemija;diplomirani biokemik (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0512";Biokemija;Biochemistry;
Biokemija;magister biokemije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0512";Biokemija;Biochemistry;
Biokemija;univerzitetni diplomirani biokemik;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0512";Biokemija;Biochemistry;
Biokemija in molekularna biologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0512";Biokemija;Biochemistry;
Biokemija in molekularna biologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0512";Biokemija;Biochemistry;
Biologija;diplomirani biolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0511";Biologija;Biology;
Biologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0511";Biologija;Biology;
Biologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0511";Biologija;Biology;
Biologija;predmetni učitelj za biologijo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biologija;univerzitetni diplomirani biolog / profesor biologije;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0511";Biologija;Biology;
Biologija - področje izobraževanja;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biologija - področje izobraževanja;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biologija in ...;profesor biologije in ...;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biologija in ekologija z naravovarstvom;magister biologije in ekologije z naravovarstvom;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0511";Biologija;Biology;
Biologija in gospodinjstvo;profesor biologije in gospodinjstva;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biologija in kemija;predmetni učitelj biologije in kemije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biologija in kemija;predmetni učitelj za biologijo in kemijo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biološke in biotehniške znanosti;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0512";Biokemija;Biochemistry;
Biološke in biotehniške znanosti;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0512";Biokemija;Biochemistry;
Biološko izobraževanje;magister profesor biologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Biomedicina;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Biomedicina;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Biomedicina;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Biomedicinska tehnologija;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
